sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Magento Service",,Default,simple,"Default Category,Default Category/Services",base,Magento,,"<h4><span style=""color: #000000;""><a style=""color: #000000;"" title=""Magento Services"" href=""/magento-service.html""><span style=""text-decoration: underline;"">This package includes</span></a></span></h4>
<ul style=""list-style-type: square;"">
<li style=""clear: both;"">Web server setup </li>
<li style=""clear: both;"">Magento installation</li>
<li style=""clear: both;"">SSL setup</li>
<li style=""clear: both;"">CI and CD setup</li>
<li style=""clear: both;"">Docker Setup for local</li>
<li style=""clear: both;"">Dev/Staging environment setup</li>
<li style=""clear: both;"">Custom Theme and Module development</li>
<li style=""clear: both;"">Customisation of third party theme and module</li>
<li style=""clear: both;"">Google Workspace Integration</li>
<li style=""clear: both;"">Third Party API implementation</li>
<li style=""clear: both;"">Debugging and Bug Fix</li>
</ul>",,1,0,"Catalog, Search",1.000000,,,,magento-service,"Magento Service","Magento Service","Magento Service",/s/v/svgviewer-png-output_9_.png,,/s/v/svgviewer-png-output_9_.png,,/s/v/svgviewer-png-output_9_.png,,/s/v/svgviewer-png-output_9_.png,,"7/15/24, 11:07 PM","7/22/24, 2:06 PM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,,100000.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/v/svgviewer-png-output_9_.png,,,"name=Setup,type=checkbox,required=1,price=40.000000,sku=server-setup,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Server setup|name=Setup,type=checkbox,required=1,price=350.000000,sku=ci-and-cd-setup,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=CI and CD setup|name=Setup,type=checkbox,required=1,price=30.000000,sku=magento-installation,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Magento Installation|name=Setup,type=checkbox,required=1,price=10.000000,sku=ssl-configuration,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=SSL Configuration|name=Setup,type=checkbox,required=1,price=30.000000,sku=theme-module-setup-and-configuration,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Custom theme and module setup|name=Setup,type=checkbox,required=1,price=0.000000,sku=none,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=None|name=Development,type=checkbox,required=1,price=600.000000,sku=advanced-module-development,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Module development Advanced|name=Development,type=checkbox,required=1,price=200.000000,sku=module-development,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Module development|name=Development,type=checkbox,required=1,price=600.000000,sku=theme-development,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Theme development|name=Development,type=checkbox,required=1,price=0.000000,sku=none,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=None|name=Customisation,type=checkbox,required=1,price=200.000000,sku=theme-customisation,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Theme Customisation|name=Customisation,type=checkbox,required=1,price=250.000000,sku=module-customisation,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Module Customisation|name=Customisation,type=checkbox,required=1,price=0.000000,sku=none,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=None|name=Integration,type=checkbox,required=1,price=50.000000,sku=google-workspace-integration,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Google Workspace Email integration|name=Integration,type=checkbox,required=1,price=100.000000,sku=api-integration,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Third Party API integration|name=Integration,type=checkbox,required=1,price=50.000000,sku=google-product-feed,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Google Product Feed|name=Integration,type=checkbox,required=1,price=50.000000,sku=instagram-product-feed,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Instagram Product Feed|name=Integration,type=checkbox,required=1,price=50.000000,sku=facebook-product-feed,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=facebook-product-feed|name=Integration,type=checkbox,required=1,price=0.000000,sku=none,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=None|name=Debugging and Bug Fix,type=checkbox,required=1,price=50.000000,sku=debugging-and-bug-fix,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Debugging and Bug Fix|name=Debugging and Bug Fix,type=checkbox,required=1,price=0.000000,sku=none,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=None",,,,,,,,,,,
"Wordpress and Woocommerce Service",,Default,simple,"Default Category,Default Category/Services",base,"Wordpress / Woocommerce",,"<h4 style=""margin-top: 0px; width: 100%;""><span style=""color: #000000;""><a style=""color: #000000;"" title=""Magento Services"" href=""/wordpress-and-woocommerce-service.html""><span style=""text-decoration: underline;"">This package includes</span></a></span></h4>
<ul style=""list-style-type: square; width: 100%;"">
<li style=""clear: both;"">Custom Theme and Plugin development</li>
<li style=""clear: both;"">Customisation of third party theme and module</li>
</ul>",,1,0,"Catalog, Search",1.000000,,,,wordpress-and-woocommerce-service,,,,/w/o/wordpress-logotype-alternative_1_.png,,/w/o/wordpress-logotype-alternative_1_.png,,/w/o/wordpress-logotype-alternative_1_.png,,/w/o/wordpress-logotype-alternative_1_.png,,"7/21/24, 1:49 PM","7/22/24, 2:06 PM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",,,100000.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/w/o/wordpress-logotype-alternative_1_.png,,,"name=Development,type=checkbox,required=1,price=150.000000,sku=custom-plugin-development,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Custom plugin development|name=Development,type=checkbox,required=1,price=200.000000,sku=custom-theme-development,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Custom theme development|name=PluCustomisation,type=checkbox,required=1,price=100.000000,sku=theme-customisation,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Theme Customisation|name=PluCustomisation,type=checkbox,required=1,price=100.000000,sku=plugin-customisation,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=Plugin Customisation|name=PluCustomisation,type=checkbox,required=1,price=0.000000,sku=none,max_characters=0,file_extension=,image_size_x=0,image_size_y=0,price_type=fixed,option_title=None",,,,,,,,,,,
